ID              SYMBOL       
ENSG00000180138 CSNK1A1L     
ENSG00000180228 PRKRA        
ENSG00000180370 PAK2         
ENSG00000180764 PIPSL        
ENSG00000180815 MAP3K15      
ENSG00000181085 MAPK15       
ENSG00000181409 AATK         
ENSG00000181929 PRKAG1       
ENSG00000182208 MOB2         
ENSG00000182319 SGK223       
ENSG00000182511 FES          
ENSG00000182541 LIMK2        
ENSG00000182580 EPHB3        
ENSG00000182866 LCK          
ENSG00000183049 CAMK1D       
ENSG00000183087 GAS6         
ENSG00000183092 BEGAIN       
ENSG00000183421 RIPK4        
ENSG00000183506 PI4KAP2      
ENSG00000183735 TBK1         
ENSG00000183765 CHEK2        
ENSG00000183943 PRKX         
ENSG00000184216 IRAK1        
ENSG00000184304 PRKD1        
ENSG00000184343 SRPK3        
ENSG00000184349 EFNA5        
ENSG00000184613 NELL2        
ENSG00000185043 CIB1         
ENSG00000185324 CDK10        
ENSG00000185359 HGS          
ENSG00000185386 MAPK11       
ENSG00000185483 ROR1         
ENSG00000185532 PRKG1        
ENSG00000185864 NPIPL3       
ENSG00000185900 SGK196       
ENSG00000185974 GRK1         
ENSG00000185988 PLK5         
ENSG00000186111 PIP5K1C      
ENSG00000186471 AKAP14       
ENSG00000187391 MAGI2        
ENSG00000187550 SBK2         
ENSG00000188130 MAPK12       
ENSG00000188191 PRKAR1B      
ENSG00000188322 SBK1         
ENSG00000188385 JAKMIP3      
ENSG00000188452 CERKL        
ENSG00000188906 LRRK2        
ENSG00000196182 STK40        
ENSG00000196335 STK31        
ENSG00000196411 EPHB4        
ENSG00000196455 PIK3R4       
ENSG00000196475 GK2          
ENSG00000196511 TPK1         
ENSG00000196632 WNK3         
ENSG00000196730 DAPK1        
ENSG00000197122 SRC          
ENSG00000197168 NEK5         
ENSG00000197417 SHPK         
ENSG00000197442 MAP3K5       
ENSG00000197535 MYO5A        
ENSG00000197702 PARVA        
ENSG00000197892 KIF13B       
ENSG00000197976 AKAP17A      
ENSG00000198001 IRAK4        
ENSG00000198055 GRK6         
ENSG00000198208 RPS6KL1      
ENSG00000198276 UCKL1        
ENSG00000198355 PIM3         
ENSG00000198400 NTRK1        
ENSG00000198586 TLK1         
ENSG00000198648 STK39        
ENSG00000198668 CALM1        
ENSG00000198668 CALM2        
ENSG00000198668 CALM3        
ENSG00000198682 PAPSS2       
ENSG00000198729 PPP1R14C     
ENSG00000198752 CDC42BPB     
ENSG00000198758 EPS8L3       
ENSG00000198771 RCSD1        
ENSG00000198793 MTOR         
ENSG00000198796 ALPK2        
ENSG00000198814 GK           
ENSG00000198870 C9orf96      
ENSG00000198873 GRK5         
ENSG00000198909 MAP3K3       
ENSG00000198933 TBKBP1       
ENSG00000204113 BMP2KL       
ENSG00000204217 BMPR2        
ENSG00000204344 STK19        
ENSG00000204435 CSNK2B       
ENSG00000204466 DGKK         
ENSG00000204580 DDR1         
ENSG00000204628 GNB2L1       
ENSG00000205111 CDKL4        
ENSG00000205927 OLIG2        
ENSG00000206052 DOK6         
ENSG00000206203 TSSK2        
ENSG00000206342 STK19        
ENSG00000206406 CSNK2B       
ENSG00000211455 STK38L       
ENSG00000212122 TSSK1B       
ENSG00000213033 AURKAPS1     
ENSG00000213205 STRADBP1     
ENSG00000213341 CHUK         
ENSG00000213923 CSNK1E       
ENSG00000213995 CARKD        
ENSG00000214102 WEE2         
ENSG00000214992 AKAP16BP     
ENSG00000215179 MAPK6PS4     
ENSG00000215251 FASTKD5      
ENSG00000215513 PI4KAP1      
ENSG00000215522 DDR1         
ENSG00000215571 GRK6P1       
ENSG00000215802 RFKP1        
ENSG00000217377 AK4P5        
ENSG00000218020 PRKRIRP5     
ENSG00000219294 PIP5K1P1     
ENSG00000223467 CALM1P1      
ENSG00000223488 MAPK6PS2     
ENSG00000223518 CSNK1A1P1    
ENSG00000223572 CKMT1A       
